,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
DLEU2,9.79615200174138e-20,1.87799451641243,0.25,0.062,1.92122133058152e-15,1,DLEU2
HNRNPUL1,9.93133643978787e-20,0.391511650084099,0.865,0.575,1.9477337025712e-15,1,HNRNPUL1
PLOD3,1.01497145099306e-19,0.478057870760489,0.767,0.402,1.99056200968759e-15,1,PLOD3
CASP8AP21,1.10421189587617e-19,0.757259416546045,0.802,0.466,2.16558037019234e-15,1,CASP8AP2
ILKAP1,1.14444953980797e-19,0.592150010491316,0.83,0.521,2.24449443747139e-15,1,ILKAP
YY1,1.15349754061696e-19,0.279293258830591,0.983,0.755,2.26223937665797e-15,1,YY1
PTPN2,1.15469785977045e-19,0.327844888343259,0.941,0.64,2.2645934425818e-15,1,PTPN2
PTPMT1,1.18426432180454e-19,0.334849123822683,0.931,0.657,2.32257918792307e-15,1,PTPMT1
SDF2L11,1.19117218276339e-19,0.390747126088588,0.962,0.722,2.33612688483556e-15,1,SDF2L1
CKAP4,1.19204649053915e-19,0.404460990290433,0.872,0.574,2.33784157724537e-15,1,CKAP4
FAM98B1,1.25221082954292e-19,0.464039535930421,0.656,0.317,2.45583587889957e-15,1,FAM98B
SIGIRR,1.30113193381764e-19,0.384045745386363,0.802,0.47,2.55177994860315e-15,1,SIGIRR
KRAS,1.32358578809196e-19,0.363065282933879,0.899,0.588,2.59581644760595e-15,1,KRAS
BCL7A,1.35607232168095e-19,0.312382565031879,0.851,0.536,2.65952903728069e-15,1,BCL7A
FBXL6,1.35935077246043e-19,0.372066339106586,0.865,0.508,2.6659587349494e-15,1,FBXL6
POLR2A,1.36650814154373e-19,0.262773887569521,0.681,0.329,2.67999576719557e-15,1,POLR2A
ISOC1,1.38736073218539e-19,0.27499652648703,0.66,0.326,2.72089186796198e-15,1,ISOC1
FAXC,1.41204382067094e-19,0.486536507805257,0.458,0.173,2.76930034109984e-15,1,FAXC
REV1,1.4562303011119e-19,0.660044300102673,0.743,0.382,2.85595886654066e-15,1,REV1
DBF4B,1.49233598457313e-19,0.860850067265441,0.33,0.102,2.92676933294482e-15,1,DBF4B
INAVA,1.55062278294557e-19,0.460704575287411,0.865,0.517,3.04108140191284e-15,1,INAVA
PHACTR2,1.55083581572651e-19,0.424796433885046,0.802,0.481,3.04149920180283e-15,1,PHACTR2
TECR,1.61028614218156e-19,0.327851894802918,0.986,0.748,3.15809318204648e-15,1,TECR
TMEM237,1.78618646692146e-19,0.442032466392638,0.611,0.3,3.50306889892637e-15,1,TMEM237
PSME3,1.81968175817168e-19,0.422156827652856,0.812,0.468,3.56875986412631e-15,1,PSME3
FAM20B,1.8269423052122e-19,0.275168437120007,0.851,0.477,3.58299924898217e-15,1,FAM20B
GSTCD1,1.93395152905188e-19,0.718364049833825,0.611,0.276,3.79286573877655e-15,1,GSTCD
MRPS5,1.93537480771429e-19,0.359637623242196,0.958,0.716,3.79565707288927e-15,1,MRPS5
MEPCE,1.98444263942883e-19,0.740374387276977,0.608,0.291,3.89188890444782e-15,1,MEPCE
SEPTIN10,2.01195939235174e-19,0.463396697540277,0.823,0.467,3.94585476028024e-15,1,SEPTIN10
INTS7,2.06438069660032e-19,0.423384167710985,0.601,0.286,4.04866342217255e-15,1,INTS7
HOMER1,2.07024803176011e-19,0.761071566751946,0.514,0.212,4.06017043988793e-15,1,HOMER1
UCK11,2.13341092583601e-19,0.645257268419191,0.552,0.242,4.18404550774958e-15,1,UCK1
PRUNE1,2.22111556397016e-19,0.565902938734857,0.76,0.405,4.35605184405827e-15,1,PRUNE1
DAXX1,2.23035372367572e-19,0.560073892823524,0.802,0.465,4.37416972287283e-15,1,DAXX
AC079922.2,2.24379475282135e-19,0.723370046740843,0.292,0.084,4.40053026923322e-15,1,AC079922.2
PCBP1,2.25658586952165e-19,0.264964028721345,0.986,0.783,4.42561620730585e-15,1,PCBP1
RAD51D,2.42731083167474e-19,0.660051840353495,0.51,0.211,4.7604420030805e-15,1,RAD51D
AC097376.3,2.46800283492329e-19,0.295388704429405,0.983,0.722,4.84024715985156e-15,1,AC097376.3
PDCD7,2.50157125511092e-19,0.311061073885079,0.913,0.587,4.90608154552353e-15,1,PDCD7
MTHFS,2.6290381207834e-19,0.278024038801767,0.771,0.442,5.15606956248041e-15,1,MTHFS
ISCA2,2.67580732250043e-19,0.299126945544195,0.854,0.523,5.24779332088784e-15,1,ISCA2
AUP1,2.78597874955787e-19,0.26696976616561,0.969,0.716,5.4638615236329e-15,1,AUP1
BTBD6,2.79361780174352e-19,0.655521562739081,0.597,0.293,5.4788432327794e-15,1,BTBD6
PPID1,2.80456778076058e-19,0.409595910150643,0.938,0.634,5.50031833162765e-15,1,PPID
DNAJC21,2.9030770001307e-19,0.490986284197767,0.944,0.662,5.69351461265633e-15,1,DNAJC2
FZR1,2.9390809911909e-19,0.654259263282531,0.465,0.185,5.7641256399236e-15,1,FZR1
TDG1,3.06387260524863e-19,0.517646716936912,0.858,0.522,6.00886695341362e-15,1,TDG
RRP1,3.13543604134836e-19,0.274019786702608,0.917,0.618,6.1492171642924e-15,1,RRP1
ZNF496,3.18803633687401e-19,0.743661126338595,0.531,0.227,6.2523768638773e-15,1,ZNF496
DPM21,3.19339108544122e-19,0.500263850491758,0.823,0.534,6.26287859676733e-15,1,DPM2
KEAP1,3.4213375066397e-19,0.55540844953648,0.58,0.26,6.70992711802178e-15,1,KEAP1
MIER1,3.56851151137835e-19,0.565192889502734,0.76,0.418,6.99856477611522e-15,1,MIER1
EED1,3.58205893583643e-19,0.756731638138706,0.483,0.19,7.02513398496241e-15,1,EED
GPATCH111,3.72804922526701e-19,0.651931670588692,0.653,0.323,7.31145014059366e-15,1,GPATCH11
CDK2,3.78432219907564e-19,0.679201530909543,0.378,0.135,7.42181269682714e-15,1,CDK2
TIMM441,3.85012080305827e-19,0.716418957426981,0.812,0.469,7.55085691895787e-15,1,TIMM44
DSN1,3.99628817205065e-19,0.394205721818524,0.736,0.42,7.83752036302573e-15,1,DSN1
TAF5,4.25940393587867e-19,0.841636902872746,0.42,0.164,8.35354299904524e-15,1,TAF5
CGGBP1,4.27959823747014e-19,0.442559198709778,0.781,0.447,8.39314806332644e-15,1,CGGBP1
PPIC,4.3819904359084e-19,0.301634742221285,0.944,0.664,8.59395964290355e-15,1,PPIC
MMAB,4.38712405804919e-19,0.347170783473942,0.882,0.583,8.60402770264607e-15,1,MMAB
ANKS6,4.42998172574469e-19,0.798515951193746,0.556,0.246,8.68808016053048e-15,1,ANKS6
CYCS,4.43362365200793e-19,0.275160869888445,0.997,0.863,8.69522270631794e-15,1,CYCS
TXNDC16,4.50145583211624e-19,1.40096091311337,0.309,0.094,8.82825517794637e-15,1,TXNDC16
SPATS2L,5.25605094810088e-19,0.99351516384212,0.469,0.188,1.03081671194155e-14,1,SPATS2L
CNTNAP2,5.40884415011109e-19,0.254544677300293,0.674,0.348,1.06078251471979e-14,1,CNTNAP2
COA41,5.46964840755033e-19,0.36979935657525,0.948,0.682,1.07270744568877e-14,1,COA4
STIP1,5.71463103634163e-19,0.262598525665627,0.948,0.703,1.12075343884732e-14,1,STIP1
CSTF2,5.7218615922969e-19,0.551688873079955,0.635,0.295,1.12217149548127e-14,1,CSTF2
AKIP1,5.78309108979284e-19,0.260253299374519,0.799,0.448,1.13417982453017e-14,1,AKIP1
SPRTN1,5.94670710638506e-19,0.329081611723612,0.792,0.438,1.16626819770424e-14,1,SPRTN
EIF2AK4,6.48551255957078e-19,0.354544593197123,0.955,0.691,1.27193872318302e-14,1,EIF2AK4
WTAP,6.485724379765e-19,0.441892734228871,0.847,0.525,1.27198026535951e-14,1,WTAP
CEP162,6.59696615954455e-19,0.580118129680582,0.538,0.238,1.29379700320988e-14,1,CEP162
MED9,6.62952724460927e-19,0.65107332894948,0.497,0.206,1.30018288321277e-14,1,MED9
ZNF567,6.69933727888251e-19,0.577910703292113,0.521,0.218,1.31387402713444e-14,1,ZNF567
RSBN11,6.85510386880632e-19,0.704602109816814,0.74,0.4,1.34442297075029e-14,1,RSBN1
TP53I13,7.01446566030857e-19,0.338323591835589,0.76,0.414,1.37567700529972e-14,1,TP53I13
UBE2F,7.11028854872219e-19,0.314424324818186,0.938,0.646,1.3944697901754e-14,1,UBE2F
MED24,7.12868065673775e-19,0.3313177546434,0.75,0.42,1.39807685039941e-14,1,MED24
ZDHHC20,7.15775254390658e-19,0.751021798280715,0.476,0.194,1.40377842891096e-14,1,ZDHHC20
ANKIB1,7.42369922536326e-19,0.767510872140947,0.653,0.31,1.45593589207824e-14,1,ANKIB1
ATP23,7.44908264611877e-19,0.433273809465654,0.472,0.189,1.46091408855681e-14,1,ATP23
DHRS13,7.50616721524529e-19,0.428204522080833,0.604,0.292,1.47210951425391e-14,1,DHRS13
PAICS,7.67117346883394e-19,0.447857112714859,0.934,0.697,1.50447054070771e-14,1,PAICS
NSD1,7.7426897453804e-19,0.309667260484984,0.944,0.655,1.518496312864e-14,1,NSD1
RAB8A,7.920186486082e-19,0.313210152540317,0.819,0.505,1.5533069736504e-14,1,RAB8A
SERPINE21,8.06206344420263e-19,0.708066669846037,0.531,0.233,1.58113188267702e-14,1,SERPINE2
OBI11,8.07266704070642e-19,0.580374419153639,0.806,0.47,1.58321146002334e-14,1,OBI1
MED30,8.21115869700742e-19,0.688166377943551,0.59,0.264,1.6103724436571e-14,1,MED30
SELENON,8.39454466147025e-19,0.472404019346925,0.715,0.366,1.64633809900754e-14,1,SELENON
GRB10,8.8672467283869e-19,0.363527868516545,0.882,0.532,1.73904442837124e-14,1,GRB10
CNPY31,8.89563440830848e-19,0.585416330166659,0.781,0.439,1.74461182015746e-14,1,CNPY3
ARMT11,9.0683801164697e-19,0.530958161926435,0.545,0.23,1.77849070844204e-14,1,ARMT1
TM7SF3,9.13239689854596e-19,0.719750359968839,0.483,0.203,1.79104567974283e-14,1,TM7SF3
ZGRF1,9.19388373732675e-19,0.738118077181042,0.465,0.187,1.80310447856452e-14,1,ZGRF1
NR2C2AP1,9.21041350783746e-19,0.294780497876961,0.906,0.568,1.80634629715708e-14,1,NR2C2AP
LINC01515,9.52518491977147e-19,1.42519857482139,0.264,0.069,1.86807926646558e-14,1,LINC01515
PRADC1,9.54941573035088e-19,0.429248417410488,0.781,0.459,1.87283141303641e-14,1,PRADC1
RNF168,9.71012212723716e-19,0.641266957529888,0.75,0.423,1.90434915159375e-14,1,RNF168
CFAP2981,9.9609836083872e-19,0.276599491983515,0.986,0.764,1.9535481052769e-14,1,CFAP298
HINT2,1.00568283110069e-18,0.452351024151988,0.847,0.492,1.97234516835467e-14,1,HINT2
UGT81,1.01922283050457e-18,0.394332874242977,0.694,0.354,1.99889981518556e-14,1,UGT8
TUBB61,1.06859939513353e-18,0.897904707917721,0.58,0.264,2.09573713373588e-14,1,TUBB6
BAIAP2L1,1.07756561220001e-18,0.784126818230441,0.569,0.262,2.11332167864666e-14,1,BAIAP2L1
SAFB,1.15998343045332e-18,0.263248280436512,0.913,0.576,2.27495950380505e-14,1,SAFB
MRPS34,1.16441729585202e-18,0.26283321436901,0.997,0.823,2.28365520062499e-14,1,MRPS34
NUP98,1.28146811766492e-18,0.409030906038746,0.753,0.397,2.51321527236445e-14,1,NUP98
POLR3G,1.29320033271558e-18,0.40309724264125,0.521,0.221,2.53622449252179e-14,1,POLR3G
EXOSC2,1.34115468166831e-18,0.348306930143959,0.719,0.368,2.63027256168789e-14,1,EXOSC2
SLC35B41,1.41024187854579e-18,0.491204647901938,0.781,0.441,2.76576637220401e-14,1,SLC35B4
TRAPPC3,1.42024294911906e-18,0.274157817304971,0.99,0.755,2.7853804718123e-14,1,TRAPPC3
CEP97,1.42126038383672e-18,1.30032537894453,0.295,0.087,2.78737586478057e-14,1,CEP97
CAPN15,1.50378943284653e-18,0.551020106978481,0.587,0.265,2.94923183569861e-14,1,CAPN15
KAT2A,1.53141090932277e-18,0.494678580970374,0.562,0.26,3.00340307536382e-14,1,KAT2A
CRABP11,1.54035708187844e-18,0.474483962162403,0.983,0.737,3.02094830897999e-14,1,CRABP1
SLC4A2,1.62758437450586e-18,0.371968014308999,0.75,0.405,3.1920184752809e-14,1,SLC4A2
KATNBL1,1.6452065863186e-18,0.27077911190849,0.882,0.595,3.22657915708803e-14,1,KATNBL1
GTF3C21,1.73311319835687e-18,0.523256754755697,0.83,0.489,3.39898160461749e-14,1,GTF3C2
IDE,1.80305893561993e-18,0.522938835923946,0.642,0.316,3.53615918453781e-14,1,IDE
RAD54B1,1.88577528290021e-18,1.32602112899187,0.417,0.16,3.69838248482389e-14,1,RAD54B
FAM110A,1.8871885843463e-18,0.313820060480746,0.938,0.654,3.70115425161997e-14,1,FAM110A
SNTB2,1.91702645910729e-18,1.01263262652823,0.545,0.256,3.75967229160121e-14,1,SNTB2
MTDH,1.92534244647221e-18,0.28752192889501,0.983,0.795,3.77598160602129e-14,1,MTDH
ERF,2.01287665740552e-18,0.659699675931578,0.524,0.224,3.9476537005037e-14,1,ERF
HIKESHI,2.02536716215951e-18,0.360014440651756,0.865,0.533,3.97215007842722e-14,1,HIKESHI
CDKN1A,2.15493433014152e-18,0.794635501469009,0.42,0.166,4.22625720827354e-14,1,CDKN1A
ARIH21,2.16749061682216e-18,0.566558972635531,0.809,0.462,4.25088259771161e-14,1,ARIH2
TCFL5,2.23659929244725e-18,0.528512975904567,0.646,0.306,4.38641853234755e-14,1,TCFL5
RMI2,2.24791052157888e-18,0.870789586257692,0.5,0.217,4.40860211492049e-14,1,RMI2
TBC1D10B,2.26344011403946e-18,0.545573100865902,0.59,0.278,4.43905875165419e-14,1,TBC1D10B
PNISR,2.31822444147122e-18,0.383535275280727,0.979,0.757,4.54650177461335e-14,1,PNISR
PEG3,2.33313117764487e-18,0.316430844138305,0.681,0.338,4.57573686559711e-14,1,PEG3
NCBP3,2.33353250804885e-18,0.372945944961688,0.781,0.443,4.5765239547854e-14,1,NCBP3
RRNAD1,2.3818971153645e-18,0.495434290313528,0.653,0.319,4.67137662265286e-14,1,RRNAD1
CYB5R3,2.38598275517268e-18,0.292755315861271,0.941,0.681,4.67938937944465e-14,1,CYB5R3
EFCAB2,2.42795725213305e-18,1.16546989971446,0.358,0.129,4.76170976288335e-14,1,EFCAB2
KBTBD2,2.46849928852059e-18,0.597964873892787,0.663,0.327,4.84122080464658e-14,1,KBTBD2
KLHL42,2.47093727523296e-18,1.18887381618133,0.389,0.142,4.84600218418687e-14,1,KLHL42
ALMS1,2.6112555757346e-18,0.298062854981163,0.51,0.216,5.12119443513069e-14,1,ALMS1
PAF1,2.68791276413549e-18,0.370527825891457,0.566,0.255,5.27153451302251e-14,1,PAF1
ATF5,2.71788081678951e-18,0.741585218302477,0.503,0.219,5.3303078578876e-14,1,ATF5
RSBN1L,2.73233535829059e-18,0.284696300887449,0.927,0.652,5.35865610467951e-14,1,RSBN1L
C20orf271,2.74956364273869e-18,0.296379420448206,0.986,0.745,5.39244421613912e-14,1,C20orf27
GET3,2.82383618707608e-18,0.267630514274025,0.955,0.681,5.5381075300936e-14,1,GET3
ING2,2.84356675534306e-18,0.604876704660084,0.663,0.347,5.57680312057881e-14,1,ING2
GUSB,2.87303391713163e-18,0.373610849944663,0.906,0.616,5.63459411827856e-14,1,GUSB
CMC4,2.93887216419068e-18,0.359646735668321,0.872,0.555,5.76371608841076e-14,1,CMC4
EXOSC10,3.0050564231843e-18,0.415330463917035,0.833,0.51,5.89351665714904e-14,1,EXOSC10
TXNDC12,3.09696346505539e-18,0.328670758479987,0.938,0.637,6.07376474766662e-14,1,TXNDC12
HMBS1,3.2137006092132e-18,0.462141167737146,0.743,0.417,6.30270963478893e-14,1,HMBS
PARD6A,3.21760503087639e-18,0.761585682654253,0.49,0.209,6.31036698655478e-14,1,PARD6A
SYNM1,3.3146207639112e-18,0.730844394440707,0.528,0.233,6.50063424218265e-14,1,SYNM
TMEM18,3.35239987236258e-18,0.336937779419188,0.924,0.67,6.57472662967749e-14,1,TMEM18
TLX11,3.42078825389863e-18,0.709116275059996,0.427,0.163,6.70884992354598e-14,1,TLX1
FAM241B1,3.63552446110771e-18,0.497213640770405,0.743,0.44,7.12999057312445e-14,1,FAM241B
CHAF1B,3.66878996684806e-18,1.30651039362599,0.368,0.133,7.19523088298241e-14,1,CHAF1B
ANAPC151,3.67278751093542e-18,0.272140744001702,0.899,0.552,7.20307086644655e-14,1,ANAPC15
CDKN1B,3.79577955837759e-18,0.341157012750253,0.743,0.387,7.44428286989012e-14,1,CDKN1B
EFS,3.8272178536381e-18,0.665958131438549,0.479,0.198,7.50593965455504e-14,1,EFS
ENHO,3.99693319355265e-18,0.632981867173545,0.531,0.236,7.83878537919546e-14,1,ENHO
RECK,4.01945460238193e-18,1.15809838751582,0.361,0.129,7.88295436619144e-14,1,RECK
SSU72,4.08168172131758e-18,0.296454194698579,0.979,0.784,8.00499419184805e-14,1,SSU72
TMEM14A,4.14935274281302e-18,0.343150683517823,0.833,0.509,8.1377105992049e-14,1,TMEM14A
SNRK,4.30917202973781e-18,1.16287938933404,0.399,0.152,8.45114818472179e-14,1,SNRK
CD302,4.32331523819747e-18,0.578279420144036,0.562,0.271,8.47888584515287e-14,1,CD302
FAM104A,4.55756607362803e-18,0.525635360239193,0.722,0.365,8.9382985835993e-14,1,FAM104A
RIC8B,4.66856172192157e-18,1.24218069221298,0.337,0.11,9.15598324903258e-14,1,RIC8B
PLCB2,4.70567764243108e-18,0.560918395298259,0.41,0.156,9.22877499233583e-14,1,PLCB2
SGCE1,4.70674214797544e-18,0.428015296620229,0.75,0.43,9.23086270060943e-14,1,SGCE
SCLY1,4.74085467053613e-18,0.973764072958621,0.413,0.154,9.29776417985546e-14,1,SCLY
MTBP,4.84621361363521e-18,1.00631477281931,0.372,0.13,9.50439413906137e-14,1,MTBP
RIOK11,4.96986959925998e-18,0.398299874046006,0.934,0.662,9.74690825806867e-14,1,RIOK1
GOT1,4.97447619451422e-18,0.580159333595206,0.556,0.255,9.75594271268129e-14,1,GOT1
CXADR,5.02219563761907e-18,0.34076635528888,0.642,0.314,9.84953008449852e-14,1,CXADR
KIAA1549,5.25302141933783e-18,0.78499376026957,0.569,0.267,1.03022256076054e-13,1,KIAA1549
SLC7A1,5.26788555066348e-18,0.556913262773189,0.417,0.158,1.03313771419612e-13,1,SLC7A1
XXYLT1,5.2712081983641e-18,0.486468145961957,0.535,0.237,1.03378935186317e-13,1,XXYLT1
NDUFAF3,5.36928487631916e-18,0.25348391752042,0.965,0.75,1.05302414994371e-13,1,NDUFAF3
HSPA14,5.55445911102037e-18,0.347051872317973,0.66,0.314,1.08934052085332e-13,1,HSPA14
GTPBP8,5.72398737356651e-18,0.413287763555269,0.753,0.417,1.12258840370386e-13,1,GTPBP8
SAAL11,6.01238202675969e-18,0.613426275967861,0.677,0.379,1.17914836308811e-13,1,SAAL1
C8orf33,6.22335113002765e-18,0.314773693842878,0.948,0.671,1.22052362362102e-13,1,C8orf33
DNAJB111,6.3158865596148e-18,0.375768682622803,0.927,0.607,1.23867167207165e-13,1,DNAJB11
SORD1,6.48370845579142e-18,0.410776233001334,0.826,0.502,1.27158490234981e-13,1,SORD
DHX33,6.50350198020834e-18,0.528067679506004,0.615,0.295,1.27546680835846e-13,1,DHX33
GTPBP31,6.51444315092903e-18,0.315727565344236,0.792,0.482,1.2776125907602e-13,1,GTPBP3
TUBB3,6.93404410651628e-18,0.780406102696647,0.469,0.193,1.35990473016997e-13,1,TUBB3
MLST8,7.60424162896662e-18,0.417601336440554,0.882,0.572,1.49134386827293e-13,1,MLST8
LYRM7,7.84210743413173e-18,0.354384284202506,0.604,0.28,1.53799410998191e-13,1,LYRM7
SNW1,8.03135710418392e-18,0.292453298265419,0.962,0.729,1.57510975527255e-13,1,SNW1
EPHB6,8.35944461910683e-18,0.450773352447245,0.694,0.344,1.63945427869923e-13,1,EPHB6
MRPS251,8.76707618142875e-18,0.369987871651755,0.965,0.68,1.71939898070181e-13,1,MRPS25
PDXP,8.80208502179476e-18,0.500303111165093,0.576,0.263,1.72626491447439e-13,1,PDXP
SF1,8.94480802586838e-18,0.375410634256992,0.976,0.732,1.75425575003331e-13,1,SF1
CRELD21,9.30116236629327e-18,0.378883989183485,0.906,0.626,1.82414396327744e-13,1,CRELD2
H1F0,9.33060768821604e-18,0.413117097904332,0.767,0.441,1.82991877981293e-13,1,H1F0
TLCD3A,9.33685042301992e-18,1.07764401171277,0.288,0.086,1.83114310496267e-13,1,TLCD3A
DGUOK-AS11,9.49409788726039e-18,0.972775742836494,0.378,0.138,1.86198247764951e-13,1,DGUOK-AS1
WAC,9.53059513750049e-18,0.256634462822068,0.99,0.779,1.8691403183666e-13,1,WAC
C17orf75,9.55423977194562e-18,0.279821526120748,0.622,0.301,1.87377750407398e-13,1,C17orf75
GPN3,9.61406998411917e-18,0.320834311377622,0.875,0.512,1.88551140528545e-13,1,GPN3
CSTF1,1.03118717268352e-17,0.269867848908919,0.736,0.406,2.02236428306692e-13,1,CSTF1
ING1,1.05766186357407e-17,0.445426752690329,0.826,0.504,2.07428644684147e-13,1,ING1
ZDHHC12,1.09290702205696e-17,0.503325621212136,0.764,0.448,2.1434092516581e-13,1,ZDHHC12
ARL91,1.10129531295689e-17,0.820345526724768,0.406,0.154,2.15986036777105e-13,1,ARL9
FIP1L1,1.12493469854872e-17,0.304228144198485,0.906,0.595,2.20622193079375e-13,1,FIP1L1
MICALL2,1.15436498026456e-17,0.560556549313292,0.42,0.161,2.26394059929485e-13,1,MICALL2
PPP1R10,1.1976158041147e-17,0.549152046375788,0.931,0.625,2.34876411502974e-13,1,PPP1R10
ZFYVE16,1.20861776712841e-17,0.526074798894509,0.764,0.424,2.37034116489223e-13,1,ZFYVE16
CENPJ,1.26646738075247e-17,0.366824162344333,0.611,0.301,2.48379582713174e-13,1,CENPJ
NOC4L,1.26818599693574e-17,0.341855752348968,0.74,0.41,2.48716637719038e-13,1,NOC4L
MTA1,1.37999079527774e-17,0.407641622801253,0.674,0.35,2.70643794769869e-13,1,MTA1
CBX6,1.38944682195504e-17,0.383102331197001,0.587,0.285,2.72498310721823e-13,1,CBX6
TRAIP,1.39971801187998e-17,0.664039107357684,0.257,0.071,2.74512696489902e-13,1,TRAIP
FAAP24,1.43433764660019e-17,0.620950737947904,0.34,0.118,2.8130229925123e-13,1,FAAP24
MAPK9,1.4560773052187e-17,0.531580940313577,0.67,0.341,2.85565881099491e-13,1,MAPK9
TELO2,1.46238241986588e-17,0.440787625610367,0.628,0.31,2.86802440184097e-13,1,TELO2
MTF21,1.52952047361463e-17,0.488697252497551,0.872,0.554,2.99969555285302e-13,1,MTF2
TWSG1,1.56043460800358e-17,0.583249943540235,0.306,0.097,3.06032435321662e-13,1,TWSG1
CDK11B1,1.58009205599223e-17,0.747791977572828,0.639,0.331,3.09887654021196e-13,1,CDK11B
SNX8,1.5840928148879e-17,0.353494368256632,0.743,0.411,3.10672282855815e-13,1,SNX8
PPP6R1,1.60958786739965e-17,0.770830357049288,0.562,0.261,3.15672372554419e-13,1,PPP6R1
ANKRD9,1.61781667630623e-17,0.402988628695374,0.622,0.317,3.17286206557178e-13,1,ANKRD9
ILVBL,1.7754569684931e-17,0.581088486672173,0.615,0.311,3.48202620660868e-13,1,ILVBL
MLEC1,1.77636928137816e-17,0.309063331214367,0.986,0.767,3.48381543463885e-13,1,MLEC
HECTD11,1.86276783541651e-17,0.432999451287827,0.878,0.574,3.65326027881886e-13,1,HECTD1
ADAMTS12,1.86415077787245e-17,0.300951525757954,0.358,0.125,3.65597250556345e-13,1,ADAMTS12
NECTIN1,1.88472357693146e-17,0.413114357689449,0.719,0.382,3.69631987907798e-13,1,NECTIN1
RTN4,1.88868279793536e-17,0.315918856354689,0.993,0.781,3.70408470331083e-13,1,RTN4
CENPC,1.92448619895751e-17,0.306014860231131,0.753,0.44,3.77430233339546e-13,1,CENPC
LIN9,1.92611163991565e-17,0.329357847220127,0.615,0.314,3.77749014820257e-13,1,LIN9
BUD13,1.98453488630782e-17,1.25552762799901,0.323,0.105,3.89206981902689e-13,1,BUD13
GNL1,2.0624186684483e-17,0.460053066769223,0.66,0.333,4.0448154925608e-13,1,GNL1
THUMPD31,2.10765317091645e-17,0.390526734079794,0.847,0.538,4.13352939880133e-13,1,THUMPD3
BRD31,2.12570225419307e-17,0.586939505680486,0.771,0.41,4.16892726092345e-13,1,BRD3
HOOK1,2.18529257661848e-17,0.645440947200581,0.656,0.35,4.28579580126417e-13,1,HOOK1
RWDD41,2.19810834409265e-17,0.33982942986912,0.83,0.492,4.3109300844345e-13,1,RWDD4
ACTR1B,2.27261731026896e-17,0.369900658012573,0.569,0.266,4.45705706889949e-13,1,ACTR1B
R3HCC1L,2.29197085847998e-17,1.24496821995666,0.288,0.087,4.49501324765095e-13,1,R3HCC1L
LACTB2,2.31176551242215e-17,1.10471457018464,0.403,0.154,4.53383452296232e-13,1,LACTB2
GATAD2A,2.31773230271388e-17,0.320063483282116,0.701,0.382,4.54553659208246e-13,1,GATAD2A
LRRFIP2,2.35110248668637e-17,0.314124737730311,0.816,0.478,4.61098219688932e-13,1,LRRFIP2
NDUFA91,2.38463410981487e-17,0.411999522425726,0.899,0.602,4.67674441616893e-13,1,NDUFA9
GLB1L2,2.41220403082944e-17,1.34029757446775,0.326,0.11,4.7308145452627e-13,1,GLB1L2
PRPF38B,2.41891704459928e-17,0.330073554983478,0.951,0.679,4.7439801078681e-13,1,PRPF38B
NCBP1,2.4440741453914e-17,0.472502252197691,0.632,0.316,4.79331821394161e-13,1,NCBP1
PPP6C,2.55257924176567e-17,0.269729533642607,0.788,0.43,5.00611840895084e-13,1,PPP6C
PTPRA,2.56529785194596e-17,0.451167399766124,0.934,0.669,5.03106214723641e-13,1,PTPRA
PIGU1,2.59718505656132e-17,0.798081766810226,0.691,0.371,5.09359933292805e-13,1,PIGU
METAP1,2.67436200399493e-17,0.274496986504329,0.833,0.498,5.24495876223486e-13,1,METAP1
SDR39U11,2.6942407482686e-17,0.735163885848397,0.708,0.368,5.28394495550438e-13,1,SDR39U1
DCUN1D51,2.74822831551993e-17,0.344936157335881,0.938,0.681,5.38982537239769e-13,1,DCUN1D5
DDX24,2.77741111440151e-17,0.250045990623807,0.979,0.761,5.44705867756424e-13,1,DDX24
HIST1H2AE,3.25776508384025e-17,1.31179722077113,0.312,0.102,6.3891288824275e-13,1,HIST1H2AE
C1orf1311,3.32232940356712e-17,0.348798336911195,0.924,0.636,6.51575242627584e-13,1,C1orf131
B3GALNT2,3.39058332370875e-17,0.424273054652387,0.84,0.501,6.6496120144576e-13,1,B3GALNT2
NUMA1,3.51765765359864e-17,0.360495036749812,0.774,0.435,6.89883019023766e-13,1,NUMA1
EIF2AK2,3.58783829274247e-17,0.250002725346639,0.962,0.673,7.03646845972653e-13,1,EIF2AK2
DBNDD2,3.72837149926468e-17,0.385825065340998,0.913,0.598,7.3120821843579e-13,1,DBNDD2
SUDS3,3.73329023202665e-17,0.339050648807455,0.934,0.629,7.32172880305066e-13,1,SUDS3
NUP881,3.9145770317392e-17,0.510812637633578,0.733,0.399,7.67726847464691e-13,1,NUP88
LRP11,3.99172539425435e-17,0.406290290059797,0.67,0.341,7.82857184321164e-13,1,LRP11
ZC3H131,4.24033636486504e-17,0.396898035191437,0.83,0.51,8.31614767877331e-13,1,ZC3H13
AVEN,4.25796580718712e-17,0.538887550318639,0.677,0.355,8.35072254105539e-13,1,AVEN
LAS1L1,4.4035528311526e-17,0.260482541077624,0.809,0.485,8.63624781245648e-13,1,LAS1L
FAM76B,4.52217403492182e-17,0.53545883516339,0.486,0.207,8.86888771728867e-13,1,FAM76B
