,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ARHGDIB,9.25647070947893e-10,0.253963939817359,0.804,0.645,1.81537903554301e-05,2,ARHGDIB
PPM1K,1.03488379489208e-09,0.512143314708747,0.699,0.531,2.02961409854234e-05,2,PPM1K
DUXAP81,1.05020976368967e-09,0.409513813645308,0.839,0.663,2.05967138854817e-05,2,DUXAP8
PALMD,1.10072958194289e-09,0.499010416006743,0.633,0.478,2.1587508561064e-05,2,PALMD
KLK6,1.38072619974485e-09,0.446183653186926,0.78,0.623,2.70788022293959e-05,2,KLK6
USP53,1.52315787004778e-09,0.452449862673397,0.598,0.433,2.9872172147377e-05,2,USP53
LINC02613,1.6469809702011e-09,0.983486899276848,0.297,0.155,3.23005907875839e-05,2,LINC02613
TCF7L21,1.76166978019263e-09,0.291569954322558,0.829,0.655,3.45498677291379e-05,2,TCF7L2
S100A4,1.81275526215703e-09,0.321299850952578,0.913,0.757,3.55517562014237e-05,2,S100A4
ZNF117,1.92872984649916e-09,0.439237419125633,0.636,0.454,3.78262497495415e-05,2,ZNF117
TP53BP2,2.25988918846323e-09,0.288018597864814,0.843,0.662,4.43209467641408e-05,2,TP53BP2
YPEL3,2.48917261390472e-09,0.438544337618234,0.801,0.619,4.88176533038994e-05,2,YPEL3
SECTM11,2.71645548420143e-09,0.490769424338171,0.654,0.484,5.32751249561585e-05,2,SECTM1
RHOV,2.74386706372595e-09,0.301527771685062,0.748,0.598,5.38127208537933e-05,2,RHOV
NRAD1,3.02541811738553e-09,0.376622993884669,0.427,0.267,5.9334500118165e-05,2,NRAD1
OSBPL2,3.35841041270461e-09,0.395495736231017,0.633,0.492,6.58651450139629e-05,2,OSBPL2
ERBB3,4.00648272858523e-09,0.455288457665794,0.843,0.69,7.85751392730136e-05,2,ERBB3
XIST,4.46002036976987e-09,0.312277388612283,0.951,0.753,8.74699194919267e-05,2,XIST
HERC61,4.75073628733861e-09,1.33759545558956,0.385,0.25,9.31714400672849e-05,2,HERC6
SCGB3A1,4.96712921220419e-09,0.45218445893469,1,1,9.74153381097485e-05,2,SCGB3A1
NEBL,5.13757709493163e-09,0.810699939772203,0.406,0.252,0.000100758161985799,2,NEBL
TRIM38,7.72512741331038e-09,0.445169369084174,0.57,0.444,0.000151505198829843,2,TRIM38
ZNF138,7.77482243123443e-09,0.251553347851092,0.794,0.635,0.00015247981752137,2,ZNF138
FOXP1,8.71136249070598e-09,0.402560188742542,0.573,0.408,0.000170847241167726,2,FOXP1
ETV61,9.08470610153429e-09,0.469777366338576,0.71,0.583,0.00017816925606329,2,ETV6
MAPRE2,9.32962681221611e-09,0.379485339534879,0.64,0.499,0.000182972641041182,2,MAPRE2
CD55,9.45105945438869e-09,0.283372364997192,0.755,0.625,0.000185354178019471,2,CD55
ROCR1,9.87040868065488e-09,0.276099192983861,0.706,0.547,0.000193578455045004,2,ROCR
NCOA7,1.10409620432011e-08,0.729626553547392,0.619,0.499,0.000216535347591261,2,NCOA7
RAP2B,1.1366321877377e-08,0.314494797012939,0.591,0.442,0.000222916304659118,2,RAP2B
TNFRSF12A,1.35805964469903e-08,0.250755196934546,0.857,0.681,0.000266342657518373,2,TNFRSF12A
GCNT21,1.4073607459007e-08,0.616461164282934,0.65,0.501,0.000276011589486046,2,GCNT2
F3,1.47254350295399e-08,0.86280511349315,0.371,0.217,0.000288795231799337,2,F3
TRIM8,1.55427810423396e-08,0.408067666292268,0.483,0.304,0.000304825021802364,2,TRIM8
IRX1,1.60490893457831e-08,0.250296903764997,0.759,0.617,0.000314754740249499,2,IRX1
GABPB1-AS11,2.06485754695931e-08,0.502920737412609,0.703,0.548,0.000404959862109659,2,GABPB1-AS1
KRTAP5-101,2.1520497448314e-08,0.913002002826695,0.462,0.299,0.000422059995956334,2,KRTAP5-10
CLCN3,2.21317141289835e-08,0.338092361358502,0.675,0.53,0.000434047177497625,2,CLCN3
EMP1,2.24984574259069e-08,0.38003593285055,0.262,0.126,0.000441239747036885,2,EMP1
CAPG,2.67106684679404e-08,0.523731388005768,0.357,0.218,0.000523849629993246,2,CAPG
ITPKC1,2.70325179346408e-08,0.940678627298102,0.378,0.238,0.000530161741734176,2,ITPKC
RAD51B,2.83270271972966e-08,0.369393172301131,0.689,0.511,0.00055554965739338,2,RAD51B
KIAA2026,3.07328302576635e-08,0.318872791383864,0.696,0.563,0.000602732267013297,2,KIAA2026
POLR2J3,3.17341399987967e-08,0.29902903990853,0.944,0.756,0.000622369953656401,2,POLR2J3
CXXC4,3.41109604282731e-08,0.624126072939526,0.57,0.434,0.000668984155919292,2,CXXC4
FUT2,3.48877669077626e-08,1.13845051909089,0.378,0.247,0.000684218884595041,2,FUT2
MAP3K8,4.1697957619971e-08,0.868376623991308,0.458,0.319,0.000817780344842871,2,MAP3K8
CLDN8,4.28112487511236e-08,0.868095740429918,0.458,0.311,0.000839614210507036,2,CLDN8
PUS31,4.4844271093952e-08,0.550115976284495,0.573,0.433,0.000879485844694587,2,PUS3
CASP4,4.89525673726302e-08,0.849900377227241,0.448,0.311,0.000960057751312023,2,CASP4
RSRC2,1.49481413851104e-82,0.625281731579619,0.076,0.933,2.93162948844785e-78,3,RSRC2
CDC73,1.3941907296837e-81,0.254442439373074,0.068,0.914,2.73428685905566e-77,3,CDC73
RDX1,5.20917329684536e-79,0.28609917671367,0.076,0.919,1.02162306697731e-74,3,RDX
CELF1,7.99867124359175e-79,0.57308596686081,0.055,0.876,1.56869940429321e-74,3,CELF1
ZNF33A,8.48976768465953e-79,0.271649641009511,0.089,0.935,1.66501323831543e-74,3,ZNF33A
LUC7L3,1.08077161731089e-78,0.533389791997066,0.076,0.92,2.11960929587013e-74,3,LUC7L3
DSG2,2.93168014007362e-78,0.372368001169812,0.042,0.845,5.74961109071239e-74,3,DSG2
SINHCAF,7.59650047514288e-78,0.280642446623785,0.076,0.912,1.48982567318502e-73,3,SINHCAF
CRIPT,1.00035769623349e-77,0.276513137329853,0.059,0.875,1.96190151385311e-73,3,CRIPT
CHMP2B,1.12569913865838e-77,0.370502727079701,0.042,0.84,2.20772115073681e-73,3,CHMP2B
RNF8,2.10241334909646e-77,0.333086578695323,0.059,0.877,4.12325306024798e-73,3,RNF8
MDM4,1.36015143376698e-76,0.419562412746188,0.072,0.899,2.66752899190379e-72,3,MDM4
SLC52A2,1.60661396530042e-76,0.255624789560443,0.102,0.945,3.15089130874718e-72,3,SLC52A2
OFD1,2.59101300640525e-76,0.434816068652413,0.072,0.897,5.08149470816198e-72,3,OFD1
ENDOG,4.39560114199884e-76,0.362941004554115,0.068,0.884,8.62065295968812e-72,3,ENDOG
DARS,4.6373194739825e-76,0.290656487457437,0.064,0.872,9.09471095237448e-72,3,DARS
MANF,7.91065922512625e-76,0.267872215658993,0.093,0.928,1.55143848723176e-71,3,MANF
PAK2,7.96750026954145e-76,0.409039618771699,0.085,0.917,1.56258615286247e-71,3,PAK2
MCFD2,8.69728682779938e-76,0.387770827064209,0.097,0.942,1.70571189266802e-71,3,MCFD2
LLGL2,1.00256150409061e-75,0.276475561963242,0.055,0.855,1.96622362182251e-71,3,LLGL2
JUP,1.27242596522175e-75,0.266261379025468,0.085,0.917,2.4954818029929e-71,3,JUP
C1D,1.48359103970632e-75,0.295053669547069,0.042,0.829,2.90961874707204e-71,3,C1D
KIN,1.72165350543025e-75,0.721264275241171,0.081,0.907,3.37650685484981e-71,3,KIN
AKAP9,1.73662163410098e-75,0.481219338506894,0.081,0.912,3.40586234879883e-71,3,AKAP9
NOL10,2.61496000438159e-75,0.252668824833443,0.055,0.854,5.12845956059317e-71,3,NOL10
PTPN11,4.24129181153955e-75,0.34453228589862,0.051,0.84,8.31802150079136e-71,3,PTPN11
MAF1,6.27816502098594e-75,0.264389332737361,0.102,0.947,1.23127372391576e-70,3,MAF1
MOB4,6.48565648516059e-75,0.289790628841623,0.059,0.862,1.27196694986969e-70,3,MOB4
PHIP,7.82269799849913e-75,0.570545103229201,0.068,0.876,1.53418753146565e-70,3,PHIP
ROCK1,8.30845360139912e-75,0.36111747601002,0.042,0.825,1.6294539203064e-70,3,ROCK1
GOPC,9.75998043162211e-75,0.3188393251829,0.068,0.878,1.91412736224973e-70,3,GOPC
NDFIP1,1.19480979533812e-74,0.416571630180906,0.102,0.946,2.34326097061713e-70,3,NDFIP1
PHF20L1,1.32601712416218e-74,0.366822869028427,0.064,0.869,2.60058478390687e-70,3,PHF20L1
ATXN7L3B,1.68068917431159e-74,0.359493259873329,0.081,0.893,3.29616760865989e-70,3,ATXN7L3B
MMADHC,3.67185778706486e-74,0.407405763424859,0.097,0.932,7.20124749199161e-70,3,MMADHC
BIRC6,4.13772978697424e-74,0.426425289690419,0.059,0.857,8.11491565821388e-70,3,BIRC6
MCUR1,4.46491287339319e-74,0.440113766358706,0.081,0.891,8.75658712729872e-70,3,MCUR1
TMEM134,5.2713174594113e-74,0.333145967691004,0.059,0.849,1.03381078013974e-69,3,TMEM134
RRAGA,5.3351200925933e-74,0.462046642227363,0.089,0.917,1.0463237525594e-69,3,RRAGA
NSD31,5.80218243300769e-74,0.713913807250384,0.085,0.902,1.13792401876147e-69,3,NSD3
NRDC,6.81246145942861e-74,0.496071841079501,0.089,0.912,1.33605994142314e-69,3,NRDC
NKAP,7.82933226276257e-74,0.592798298015529,0.068,0.871,1.53548864337299e-69,3,NKAP
NOSIP,8.91802756034306e-74,0.398151746542839,0.051,0.834,1.74900356513448e-69,3,NOSIP
ARHGAP21,1.02514166339486e-73,0.283902592606162,0.081,0.896,2.01050783024999e-69,3,ARHGAP21
MAGED1,1.30235279481928e-73,0.474175885660296,0.093,0.921,2.55417430119958e-69,3,MAGED1
RTCB,1.49724200742645e-73,0.452560155712207,0.076,0.886,2.93639102496475e-69,3,RTCB
LZIC,1.54157503103515e-73,0.545616375840069,0.081,0.897,3.02333695086613e-69,3,LZIC
DHPS1,1.95449693388567e-73,0.36027944236741,0.059,0.849,3.83315938673658e-69,3,DHPS
TRAM1,2.44203567058486e-73,0.609821279941948,0.093,0.927,4.78932035715102e-69,3,TRAM1
PDIA4,3.61268437029951e-73,0.321436692364776,0.102,0.935,7.0851965870314e-69,3,PDIA4
PPP1R7,3.92237157806499e-73,0.414672564541214,0.102,0.93,7.69255513890106e-69,3,PPP1R7
PGRMC2,3.97194115466731e-73,0.315016832721609,0.064,0.86,7.78977099253354e-69,3,PGRMC2
AHSA1,4.01433845851531e-73,0.278318169233246,0.097,0.932,7.87292058484022e-69,3,AHSA1
RNF130,7.36424786230634e-73,0.258023132616084,0.093,0.908,1.44427629075552e-68,3,RNF130
PTP4A21,8.20928756466492e-73,0.33782240520676,0.093,0.911,1.61000547718208e-68,3,PTP4A2
MPST,9.78866049735471e-73,0.35253517181802,0.114,0.954,1.91975209674121e-68,3,MPST
SOD2,1.16484043647134e-72,0.401634455479448,0.076,0.88,2.28448506400759e-68,3,SOD2
RARS,1.19253619839928e-72,0.515682776289513,0.089,0.906,2.33880199230066e-68,3,RARS
CIRBP,1.28479457273496e-72,0.275514603479936,0.11,0.942,2.5197391160478e-68,3,CIRBP
COPB1,1.64462090554438e-72,0.327651722571726,0.085,0.901,3.22543051995364e-68,3,COPB1
CIAO1,1.70652548446023e-72,0.30592547758807,0.114,0.955,3.3468377801234e-68,3,CIAO1
USP14,1.74381387625065e-72,0.282361987922533,0.085,0.898,3.41996777410278e-68,3,USP14
UBE2A,3.44746566010362e-72,0.339323248244994,0.123,0.96,6.76116965259521e-68,3,UBE2A
ATL2,5.12272512279398e-72,0.263561722489674,0.059,0.841,1.00466885108236e-67,3,ATL2
SF3B4,5.58529839822591e-72,0.602028276137044,0.089,0.907,1.09538872186007e-67,3,SF3B4
CAPZA1,5.88368653878198e-72,0.44235159050134,0.076,0.873,1.15390860398592e-67,3,CAPZA1
LRRC59,6.07292969835944e-72,0.345547036749096,0.102,0.936,1.19102297244225e-67,3,LRRC59
STK241,7.85444924778582e-72,0.408161843516182,0.076,0.878,1.54041458647576e-67,3,STK24
ERI3,8.30224006447642e-72,0.409860324153863,0.064,0.847,1.62823532144512e-67,3,ERI3
UTP11,9.82221244301585e-72,0.504687131166588,0.102,0.913,1.92633230432427e-67,3,UTP11
UBE2K,1.05056727636028e-71,0.665139444345297,0.085,0.886,2.06037254239778e-67,3,UBE2K
CD47,1.13204632903125e-71,0.522563846144389,0.047,0.811,2.22016926049608e-67,3,CD47
USP7,1.44205687495629e-71,0.52413109962271,0.076,0.875,2.82816194316428e-67,3,USP7
ZKSCAN1,1.47578392007383e-71,0.30382490599598,0.055,0.826,2.8943074240488e-67,3,ZKSCAN1
SMARCA41,1.73283924593077e-71,0.334232772430659,0.089,0.897,3.39844432911942e-67,3,SMARCA4
RSL24D1,1.94256772961139e-71,0.262752074050437,0.119,0.964,3.80976383131385e-67,3,RSL24D1
CD82,2.2793526251117e-71,0.329133516762786,0.102,0.925,4.47026636836907e-67,3,CD82
ARPC1A,2.72954117968737e-71,0.326359078362467,0.119,0.955,5.35317616160288e-67,3,ARPC1A
NXT11,2.89609863174901e-71,0.252532122803675,0.059,0.837,5.67982863658616e-67,3,NXT1
METAP2,3.55555260496835e-71,0.390043934504346,0.114,0.949,6.97314976886392e-67,3,METAP2
SPEN,3.98342002802938e-71,0.433991328683712,0.047,0.812,7.81228335897122e-67,3,SPEN
WASF2,5.32207166235426e-71,0.255877280507832,0.11,0.942,1.04376469442092e-66,3,WASF2
DPYSL2,5.62735289447457e-71,0.459423921748503,0.102,0.92,1.10363644966435e-66,3,DPYSL2
DYNC1LI2,5.78364863108155e-71,0.455225302072242,0.106,0.939,1.13428916952771e-66,3,DYNC1LI2
PPIG,5.84775281969992e-71,0.480095564890471,0.114,0.945,1.14686128299955e-66,3,PPIG
MESD,6.21007420792834e-71,0.343012138440513,0.072,0.854,1.21791975365891e-66,3,MESD
VAPB,6.77142271862444e-71,0.413098566184607,0.038,0.792,1.32801142357663e-66,3,VAPB
TIMM10B,7.59882802314908e-71,0.310452266344949,0.051,0.819,1.4902821519e-66,3,TIMM10B
TGOLN2,7.63074873250039e-71,0.429215768992313,0.047,0.81,1.49654244141798e-66,3,TGOLN2
CRCP,8.20042881366209e-71,0.459819230840701,0.093,0.911,1.60826809893541e-66,3,CRCP
GIPC1,1.07798448613109e-70,0.79500107215514,0.081,0.882,2.11414317420029e-66,3,GIPC1
MAP4,1.10193280044966e-70,0.330367390054015,0.097,0.902,2.16111060824188e-66,3,MAP4
NCBP2AS2,1.13845727721379e-70,0.413213672836741,0.059,0.834,2.23274241207168e-66,3,NCBP2AS2
MARCH6,1.14820912703028e-70,0.255618471945805,0.047,0.809,2.25186773993178e-66,3,MARCH6
TCEAL8,1.24151521956922e-70,0.284887491748008,0.106,0.924,2.43485964861916e-66,3,TCEAL8
ESF1,1.32372467456867e-70,0.710803662280467,0.085,0.888,2.59608883176407e-66,3,ESF1
AFG3L21,1.60692730197233e-70,0.51503874685516,0.064,0.844,3.15150582462814e-66,3,AFG3L2
HMOX21,1.70115472316844e-70,0.275100780450753,0.106,0.925,3.33630464307793e-66,3,HMOX2
NPRL3,1.7878420602203e-70,0.261619339353218,0.051,0.813,3.50631584850405e-66,3,NPRL3
PURB,1.81111811973267e-70,0.476726886430176,0.051,0.814,3.55196485641971e-66,3,PURB
EIF4A3,1.89726481248097e-70,0.31615263749709,0.064,0.84,3.72091575023768e-66,3,EIF4A3
